"TIMESTAMP_START","TIMESTAMP_END","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT","T_CANOPY","T_SI111_body","PPFD_IN","VWC_1_1_1","Ka_1_1_1","T_1_1_1","BulkEC_1_1_1","VWC_1_2_1","Ka_1_2_1","T_1_2_1","BulkEC_1_2_1","VWC_1_3_1","Ka_1_3_1","T_1_3_1","BulkEC_1_3_1","VWC_1_4_1","Ka_1_4_1","T_1_4_1","BulkEC_1_4_1","VWC_1_5_1","Ka_1_5_1","T_1_5_1","BulkEC_1_5_1","VWC_1_6_1","Ka_1_6_1","T_1_6_1","BulkEC_1_6_1","VWC_1_7_1","Ka_1_7_1","T_1_7_1","BulkEC_1_7_1","VWC_1_8_1","Ka_1_8_1","T__1_8_1","BulkEC_1_8_1","VWC_1_9_1","Ka_1_9_1","T_1_9_1","BulkEC_1_9_1","WS","WD","LWmV_1_1_1","LWMDry_1_1_1","LWMCon_1_1_1","LWMWet_1_1_1","LWmV_1_1_2","LWMDry_1_1_2","LWMCon_1_1_2","LWMWet_1_1_2"
202504171300,202504171330,19.98966,570.6019,908.791,182.5168,286.3165,441.9888,21.9457,20.82241,1964.751,0.1694531,9.204298,18.61364,0.0508118,0.1619453,8.808342,16.27218,0.0847428,0.2111489,11.56172,13.60733,0.1554902,0.2252583,12.42025,13.11633,0.2082347,0.1672436,9.086867,13.11633,0.143171,0.1561582,8.509074,13.39627,0.1298438,0.1453204,7.962536,13.18618,0.0353438,0.0467073,3.822998,12.95382,0,0.1334469,7.384585,12.44668,0.0296775,5.89454,199.2089,258.9175,100,0,0,258.8783,100,0,0
202504171330,202504171400,20.20938,575.3228,913.7589,184.6631,289.3582,443.1313,22.36982,20.97901,1974.496,0.1731246,9.401101,19.14752,0.0488796,0.1605997,8.738292,16.77523,0.0868243,0.2130478,11.67548,13.86663,0.1554947,0.2275845,12.56474,13.20944,0.2057254,0.1685695,9.157244,13.11633,0.1434928,0.1580717,8.607454,13.37286,0.1320316,0.1441761,7.905884,13.16287,0.0403719,0.0459273,3.796242,12.93063,0,0.1355138,7.483627,12.49258,0.0308525,5.970653,197.3793,259.6105,100,0,0,258.9964,100,0,0
202504171400,202504171430,20.17782,461.7531,761.6963,155.1776,291.0312,435.7969,21.4767,20.57823,1655.584,0.168291,9.142438,19.58007,0.0514904,0.1641843,8.925512,17.20773,0.0839396,0.210449,11.51994,14.10369,0.1551327,0.2280678,12.59487,13.30276,0.205587,0.1700566,9.2365,13.11633,0.1415231,0.1590003,8.6554,13.37286,0.1316148,0.1464557,8.018936,13.13961,0.0388251,0.0495795,3.92233,12.95382,0,0.1352888,7.472817,12.46963,0.0216057,5.966186,185.1259,259.7412,100,0,0,259.3224,100,0,0
202504171430,202504171500,20.31591,263.8795,470.1746,96.82234,309.8954,419.3681,18.43141,19.5861,1036.898,0.1641541,8.923931,19.63449,0.0504286,0.1623724,8.830633,17.54165,0.085079,0.2087765,11.42038,14.3659,0.1552762,0.224874,12.39646,13.41964,0.206809,0.1676757,9.109773,13.16287,0.1419706,0.1569183,8.548083,13.34951,0.1294907,0.1458397,7.988305,13.13961,0.0347117,0.0496962,3.926393,12.95382,0,0.1339804,7.410089,12.46963,0.0333137,6.441869,212.6894,259.6781,100,0,0,259.4586,100,0,0
202504171500,202504171530,20.72036,298.3856,519.1966,108.9064,312.6769,424.5816,19.48783,20.20964,1124.233,0.1679921,9.126564,19.52575,0.050162,0.1615381,8.787112,17.67083,0.0860469,0.2096612,11.47299,14.5816,0.1580629,0.2262785,12.48352,13.53686,0.2062795,0.1628258,8.854327,13.18618,0.1429095,0.158712,8.640501,13.34951,0.1301206,0.1441033,7.902288,13.13961,0.0273315,0.0445918,3.750648,12.95382,0,0.1350029,7.459085,12.49258,0.0326016,5.125728,206.7413,259.4276,100,0,0,259.1645,100,0,0
202504171530,202504171600,20.88698,199.7351,379.0438,80.16675,314.166,413.308,17.48015,19.11379,828.1852,0.1655249,8.996042,19.20132,0.0483275,0.1603039,8.722931,17.72262,0.0858566,0.2116663,11.59266,14.79837,0.1533112,0.2292051,12.66591,13.65438,0.2075955,0.1632293,8.875443,13.2561,0.1395222,0.1568472,8.54443,13.37286,0.1289779,0.1475319,8.072585,13.13961,0.0282697,0.0466897,3.822392,12.95382,0,0.1368343,7.547249,12.46963,0.0289018,6.461355,208.3843,259.6417,100,0,0,259.4378,100,0,0
202504171600,202504171630,21.4279,129.2609,251.1802,54.13575,342.568,410.3515,16.77291,19.15523,547.8562,0.1680532,9.129805,18.87963,0.051095,0.1598417,8.698962,17.59326,0.0844808,0.2089561,11.43106,14.96771,0.1558143,0.2208782,12.15044,13.7958,0.2060261,0.1648816,8.962161,13.30276,0.1427553,0.1548926,8.444315,13.37286,0.12645,0.148188,8.105378,13.11633,0.0393151,0.0471172,3.837097,12.93063,0,0.134216,7.421361,12.49258,0.0276568,4.888947,191.7683,259.7013,100,0,0,259.5194,100,0,0
202504171630,202504171700,21.60302,89.5843,200.3307,43.34414,338.6974,406.0996,16.01822,18.5808,435.4534,0.1638792,8.909503,18.34945,0.05106,0.154563,8.427493,17.43862,0.0853159,0.2096133,11.47014,15.06481,0.1553015,0.2231627,12.29079,13.91397,0.2090225,0.1705265,9.261622,13.34951,0.1404003,0.1587646,8.643219,13.39627,0.1315608,0.1435356,7.874264,13.11633,0.0322072,0.0470907,3.836183,12.90747,0,0.1347652,7.447682,12.49258,0.0253593,4.976606,219.4546,259.7944,100,0,0,259.6477,100,0,0
202504171700,202504171730,21.61963,121.2453,247.2997,53.87914,334.4734,406.6486,16.43491,18.54329,514.7474,0.1677068,9.111422,17.90441,0.0481802,0.1584475,8.626843,17.23333,0.0857691,0.2093468,11.45429,15.18643,0.1522004,0.2235236,12.31304,14.03247,0.2058863,0.1668925,9.068272,13.41964,0.1422144,0.1587876,8.644406,13.41964,0.1289148,0.1498673,8.189621,13.11633,0.0394052,0.0474731,3.849358,12.93063,0,0.1392191,7.66283,12.46963,0.0294042,5.833612,246.0689,259.6219,100,0,0,259.66,100,0,0
202504171730,202504171800,21.0956,-22.90914,66.9235,14.16994,318.6432,394.3059,14.13156,17.12053,149.3756,0.1616814,8.794582,17.3872,0.0477807,0.1594782,8.680127,16.97821,0.0862994,0.210221,11.50634,15.25958,0.1549608,0.2293329,12.6739,14.1275,0.2075993,0.1672246,9.08586,13.48995,0.1411427,0.1571802,8.561551,13.44308,0.1267501,0.1488751,8.139795,13.13961,0.0355753,0.0445778,3.750171,12.90747,0,0.1356882,7.492018,12.49258,0.0251351,6.82532,235.828,260.3767,100,0,0,260.1033,100,0,0
202504171800,202504171830,20.01497,-29.17683,15.28325,3.144917,335.6253,376.9405,11.32884,13.06943,35.03527,0.1653705,8.987901,16.77523,0.048247,0.1589346,8.652002,16.67413,0.0864412,0.2085592,11.40749,15.30841,0.1545436,0.2180661,11.97878,14.22271,0.2057365,0.168078,9.131122,13.56036,0.142478,0.1586955,8.639649,13.44308,0.1293759,0.1497983,8.186153,13.13961,0.0439803,0.0461382,3.803466,12.93063,0,0.1341218,7.416854,12.49258,0.0296442,11.09659,274.5588,261.9636,100,0,0,261.3032,100,0,0
202504171830,202504171900,0,-23.23744,3.371139,0.78775,331.2762,357.0971,7.95111,8.015751,10.33729,0.1620288,8.812697,15.9981,0.0464495,0.158496,8.629344,16.32223,0.0848266,0.2083209,11.39334,15.30841,0.1570579,0.2205998,12.13339,14.29425,0.2042414,0.1663455,9.039349,13.58386,0.1411213,0.159587,8.685763,13.48995,0.1272506,0.1445338,7.923574,13.13961,0.0406195,0.046463,3.814607,12.90747,0,0.1384506,7.625487,12.49258,0.0351546,9.026886,305.5344,274.1582,71.94444,13.88889,14.16667,263.7588,100,0,0
202504171900,202504171930,0,-13.05492,-3.171305,-1.371306,335.7695,347.0244,6.126808,6.387548,0.1230679,0.1642327,8.928056,15.16207,0.0461066,0.1590874,8.659906,15.87414,0.0846225,0.2091243,11.44105,15.25958,0.1556537,0.2220341,12.22136,14.34201,0.2020977,0.1656205,9.001082,13.65438,0.1399463,0.1586102,8.635242,13.53686,0.1297323,0.1495546,8.173901,13.13961,0.0311428,0.0457069,3.788697,12.90747,0,0.1351375,7.465549,12.49258,0.0284208,8.103184,299.5287,388.1874,0,0,100,284.0026,12.22222,38.61111,49.16667
202504171930,202504172000,0,-13.78711,-2.816444,-1.366361,329.3149,341.652,5.068883,5.1104,0,0.1624994,8.837267,14.41375,0.0470258,0.1560969,8.505929,15.35729,0.0822381,0.2085685,11.40803,15.21081,0.1551667,0.2239108,12.33693,14.38983,0.201719,0.1642253,8.927669,13.70147,0.1425208,0.1559415,8.497966,13.56036,0.130286,0.1457396,7.983336,13.16287,0.0413333,0.0469139,3.830101,12.90747,0,0.13347,7.385689,12.51553,0.0331206,7.60039,306.5872,488.1449,0,0,100,278.8379,18.33333,68.05556,13.61111
202504172000,202504172030,0,-8.598277,-2.695055,-1.477972,328.2043,335.5856,3.94499,3.571762,0.0002223315,0.163143,8.870923,13.67791,0.0454928,0.1599258,8.703319,14.87088,0.0817105,0.2057021,11.23852,15.13772,0.1537893,0.2234927,12.31113,14.43768,0.2058907,0.1655709,8.998466,13.77218,0.1427183,0.159545,8.683585,13.60733,0.126306,0.1480052,8.096236,13.16287,0.04412,0.049233,3.910282,12.93063,0,0.1323074,7.330265,12.49258,0.0356737,7.619388,304.9604,556.5572,0,0,100,292.9681,11.38889,14.16667,74.44444
202504172030,202504172100,0,-1.563334,-2.568861,-1.732194,327.5736,328.3003,2.603255,2.052967,0,0.163864,8.908706,12.95382,0.0453505,0.1573439,8.569967,14.3659,0.0831495,0.2085558,11.40728,15.01623,0.1517409,0.2225052,12.25032,14.43768,0.202845,0.1660803,9.025342,13.81942,0.1375687,0.1563329,8.518032,13.60733,0.1293676,0.1488364,8.137853,13.16287,0.0329962,0.0476374,3.855025,12.90747,0,0.132694,7.348672,12.49258,0.0327046,6.12402,315.6495,679.7423,0,0,100,325.5125,0,0,100
