"TIMESTAMP_START","TIMESTAMP_END","ALB","NETRAD","SW_IN","SW_OUT","LW_IN","LW_OUT","T_CANOPY","T_SI111_body","PPFD_IN","VWC_1_1_1","Ka_1_1_1","T_1_1_1","BulkEC_1_1_1","VWC_1_2_1","Ka_1_2_1","T_1_2_1","BulkEC_1_2_1","VWC_1_3_1","Ka_1_3_1","T_1_3_1","BulkEC_1_3_1","VWC_1_4_1","Ka_1_4_1","T_1_4_1","BulkEC_1_4_1","VWC_1_5_1","Ka_1_5_1","T_1_5_1","BulkEC_1_5_1","VWC_1_6_1","Ka_1_6_1","T_1_6_1","BulkEC_1_6_1","VWC_1_7_1","Ka_1_7_1","T_1_7_1","BulkEC_1_7_1","VWC_1_8_1","Ka_1_8_1","T__1_8_1","BulkEC_1_8_1","VWC_1_9_1","Ka_1_9_1","T_1_9_1","BulkEC_1_9_1","WS","WD","LWmV_1_1_1","LWMDry_1_1_1","LWMCon_1_1_1","LWMWet_1_1_1","LWmV_1_1_2","LWMDry_1_1_2","LWMCon_1_1_2","LWMWet_1_1_2"
202503272330,202503280000,0,-67.651,-0.7839166,-0.1275278,298.5568,365.5514,8.382516,14.3992,0,0.1147652,6.519324,13.77218,0,0.1292526,7.185633,14.19888,0.0216581,0.1502286,8.207802,14.24655,0.0768115,0.1062495,6.142798,13.63085,0.0374595,0.0683802,4.60401,12.79187,0.0006413,0.0751974,4.864674,12.26364,0.011781,0.0799388,5.050202,11.38085,0,0.0446406,3.75231,10.6238,0,0.1308001,7.25872,10.00854,0.022001,2.242405,112.8305,263.9276,100,0,0,261.3163,100,0,0
202503280000,202503280030,0,-55.21558,-0.7138333,-0.3585,316.0012,370.8614,9.549784,15.00469,0,0.1118339,6.388452,13.51342,0,0.1258971,7.02842,14.00869,0.0206097,0.1500736,8.200002,14.15127,0.0779343,0.107414,6.193627,13.60733,0.0374085,0.0688943,4.623418,12.83807,0.0009036,0.0738239,4.811581,12.30932,0.0108735,0.0797586,5.043086,11.40332,0,0.0438696,3.726106,10.64593,0,0.1301491,7.227926,10.00854,0.0293873,2.449673,93.27279,263.7949,100,0,0,261.2011,100,0,0
202503280030,202503280100,0,-48.75036,-0.731611,-0.3893888,322.4098,370.818,9.367902,15.88386,0,0.1145437,6.509388,13.32614,0,0.1277831,7.116569,13.81942,0.0205359,0.1483597,8.113974,14.05621,0.0799244,0.1078207,6.211427,13.58386,0.0376722,0.0715565,4.724568,12.81497,0.0025414,0.0761297,4.900882,12.33218,0.0146891,0.0787474,5.003256,11.42575,0,0.0437749,3.722896,10.66802,0,0.1328118,7.354283,10.03039,0.0245872,1.896409,93.94906,263.7045,100,0,0,261.2421,100,0,0
202503280100,202503280130,0,-44.13422,-0.6208055,-0.3480278,332.1426,376.0041,10.54494,16.02051,0,0.1154369,6.5495,13.18618,0,0.1282708,7.139452,13.65438,0.0229325,0.152936,8.344686,13.96133,0.0806424,0.1080199,6.220155,13.53686,0.0371724,0.0702291,4.673998,12.83807,0.0020288,0.0729751,4.778914,12.35507,0.0106764,0.082034,5.133288,11.47067,0,0.0453229,3.775574,10.66802,0,0.1319489,7.313218,10.05224,0.0290628,2.384885,98.00149,263.7169,100,0,0,261.0582,100,0,0
202503280130,202503280200,0,-43.06147,-0.6928055,-0.3741667,330.9094,373.6522,9.967024,16.22242,0,0.1154589,6.55049,13.06985,0,0.1259849,7.032513,13.51342,0.0233866,0.1492788,8.16005,13.86663,0.0772039,0.1097019,6.294099,13.51342,0.0369604,0.0714575,4.720787,12.8612,0.0020741,0.0770384,4.936301,12.37796,0.0131763,0.080895,5.088036,11.49316,0,0.0464366,3.8137,10.69015,0,0.1341461,7.418018,10.05224,0.027686,1.499509,89.41447,263.6878,100,0,0,261.1802,100,0,0
202503280200,202503280230,0,-38.56314,-0.5976388,-0.3400278,336.4337,374.7392,10.1972,16.1525,0,0.1143846,6.502258,12.95382,0,0.130084,7.224854,13.39627,0.0181127,0.150917,8.2425,13.77218,0.0769281,0.1097634,6.296809,13.46652,0.0380723,0.0721229,4.746228,12.83807,0.0012932,0.0760867,4.89921,12.40084,0.0126894,0.0823283,5.145017,11.49316,0,0.0449173,3.761734,10.71228,0,0.1338322,7.402998,10.03039,0.030638,1.233221,94.5428,263.7289,100,0,0,261.1391,100,0,0
202503280230,202503280300,0,-36.84097,-0.5876666,-0.2918889,337.2178,373.763,9.922899,16.22087,0,0.1176554,6.649665,12.8612,0,0.1270311,7.081353,13.27944,0.021177,0.1516367,8.278854,13.70147,0.0760503,0.1091689,6.270618,13.41964,0.0379572,0.0695793,4.649339,12.83807,0.0028088,0.0748332,4.85057,12.40084,0.0097544,0.0821489,5.137866,11.53814,0,0.0453491,3.776467,10.73443,0,0.1337894,7.400955,10.07412,0.0200391,0.5253893,346.3393,263.7576,100,0,0,261.0549,100,0,0
202503280300,202503280330,0,-33.1082,-0.4976944,-0.2591667,340.2918,373.1614,9.891126,15.7692,0,0.1142176,6.494775,12.76876,0,0.1295281,7.198615,13.16287,0.0200781,0.1529663,8.346223,13.60733,0.0755642,0.1082051,6.228273,13.37286,0.0341447,0.0707654,4.694397,12.83807,0.0043956,0.0769824,4.934114,12.42376,0.0148066,0.0813932,5.107808,11.56066,0,0.0458715,3.79433,10.73443,0,0.1324299,7.336097,10.07412,0.025332,0.5758045,299.6231,263.8546,100,0,0,261.1315,100,0,0
202503280330,202503280400,0,-40.10619,-0.5992222,-0.1447222,332.4586,372.1102,9.788937,15.24418,0,0.1137859,6.475456,12.6535,0,0.1286121,7.15549,13.06985,0.0192395,0.1489714,8.144625,13.53686,0.0801446,0.1081468,6.225715,13.32614,0.0378364,0.0721321,4.746582,12.81497,0,0.0743559,4.83211,12.42376,0.0150425,0.0830294,5.173002,11.53814,0,0.0469175,3.830222,10.75659,0,0.1340479,7.413315,10.07412,0.0310127,1.700736,141.6317,264.0672,100,0,0,261.3004,100,0,0
202503280400,202503280430,0,-38.302,-0.5658333,-0.1956944,332.253,370.1848,9.27839,15.16033,0,0.1130411,6.44219,12.56146,0,0.125196,6.995792,12.97698,0.0210077,0.1525695,8.326088,13.44308,0.0772496,0.1073986,6.19295,13.27944,0.0366314,0.0706152,4.688677,12.79187,0.0030173,0.075009,4.857377,12.44668,0.0133706,0.081168,5.098865,11.58319,0,0.0410607,3.631425,10.77874,0,0.1319255,7.312102,10.07412,0.0276437,1.06085,150.0974,264.0544,100,0,0,261.3675,100,0,0
