"""TIMESTAMP_START""","""TIMESTAMP_END""","""CO2""","""CO2_SIGMA""","""H2O""","""H2O_SIGMA""","""FC""","""FC_SSITC_TEST""","""LE""","""LE_SSITC_TEST""","""ET""","""ET_SSITC_TEST""","""H""","""H_SSITC_TEST""","""G""","""SG""","""FETCH_MAX""","""FETCH_90""","""FETCH_55""","""FETCH_40""","""WD""","""WS""","""WS_MAX""","""USTAR""","""ZL""","""TAU""","""TAU_SSITC_TEST""","""MO_LENGTH""","""U""","""U_SIGMA""","""V""","""V_SIGMA""","""W""","""W_SIGMA""","""PA""","""TA_1_1_1""","""RH_1_1_1""","""T_DP_1_1_1""","""TA_1_1_2""","""RH_1_1_2""","""T_DP_1_1_2""","""TA_1_1_3""","""RH_1_1_3""","""T_DP_1_1_3""","""TA_1_1_4""","""VPD""","""T_SONIC""","""T_SONIC_SIGMA""","""PBLH""","""TS_1_1_1""","""TS_1_1_2""","""SWC_1_1_1""","""SWC_1_1_2""","""ALB""","""NETRAD""","""SW_IN""","""SW_OUT""","""LW_IN""","""LW_OUT""","""P"""
202503102130,202503102200,430.0123,0.9086769,3.653827,0.02574921,-0.8499114,3,-2.081164,7,-0.003011958,7,-51.76457,4,967.4882,-22.631,62.04877,178.8266,89.63459,67.69595,17.05341,3.882856,5.965572,0.28736,0.07683468,0.0868739,7,33.76248,3.646735,0.5293948,0,1.377568,-1.490116e-08,0.2122463,84.32086,5.735527,33.17777,-9.225866,7.004788,30.5464,-9.167967,5.716136,34.96199,-8.572256,5.659171,6.997578,7.329466,0.6525651,145.394,8.44074,8.627873,2.118916,3.087111,0.0,-97.26554,-5.172694,-0.0009633278,248.6432,340.7371,0.0
202503102200,202503102230,428.9847,0.8900384,3.583822,0.02341923,1.135533,7,-0.355921,7,-0.0005148458,7,-33.86132,7,1044.472,-41.06161,46.58647,2144.396,225.7563,133.2519,0.8902588,3.644719,5.603435,0.1852794,0.1871964,0.03618589,8,13.8578,3.613384,0.5916661,0,0.5010773,0.0,0.2260403,84.32299,5.16197,33.888,-9.472612,6.463041,31.12031,-9.413262,5.185208,35.7839,-8.751663,5.156185,6.692825,6.781102,0.8131749,123.7585,8.310814,8.292292,2.104399,3.091778,0.0,-96.00646,-4.975525,0.4453653,247.0555,337.6411,0.0
202503102230,202503102300,428.6297,0.8704088,3.548745,0.02184931,0.1926362,8,0.03125785,8,4.518815e-05,8,-20.46998,8,1150.69,-34.83535,53.0627,2063.062,239.8925,144.2267,8.265564,4.108482,6.530496,0.183275,0.1168651,0.03547987,7,22.19764,4.070169,0.7856324,0,0.5911952,0.0,0.2141627,84.30532,4.581542,34.94382,-9.597689,5.832106,32.20539,-9.540605,4.55973,37.0649,-8.860005,4.5113,6.312105,6.146468,0.9067493,132.8235,7.965826,7.942337,2.113764,3.03825,0.0,-93.66779,-4.571878,0.429499,246.1512,334.8176,0.0
202503102300,202503102330,427.9983,0.6124289,3.518613,0.01755991,0.1765991,7,-0.4111718,9,-0.0005943896,9,-19.32429,7,1222.284,-41.88684,64.13988,184.9545,92.67594,69.99077,26.92853,3.30704,5.920055,0.2033586,0.08084323,0.04367709,8,32.0884,3.192697,0.5600733,0,0.8727062,7.450581e-09,0.1441062,84.28266,4.620129,34.51956,-9.712334,5.944212,31.65181,-9.651954,4.517035,36.92633,-8.942136,4.57061,6.4044,6.256201,0.7197822,143.5743,7.462409,7.669473,2.07065,3.037055,0.0,-91.03929,-4.185374,0.5896857,247.2492,333.5134,0.0
202503102330,202503110000,428.0686,0.6603136,3.482445,0.0450831,0.1798266,9,-0.7652584,9,-0.001106615,9,-3.288302,9,1303.216,-24.14602,82.54422,2737.819,349.294,213.9332,34.66443,3.817573,4.995298,0.1167179,0.0736463,0.01436871,7,35.22418,3.780084,0.3454514,0,0.5342646,0.0,0.1078658,84.27136,5.00289,33.27243,-9.844944,6.316878,30.55488,-9.785203,4.857523,35.78768,-9.041609,4.921484,6.682019,6.625946,0.8054206,146.9828,7.198347,7.395093,2.048366,3.040583,0.0,-89.90354,-4.096308,0.1955877,249.8599,335.4715,0.0
202503110000,202503110030,428.1547,0.5326313,3.442321,0.0416545,0.1803125,7,-0.823337,7,-0.001190321,7,-15.5513,7,1355.513,-16.66005,73.77906,3819.982,375.0034,218.3275,25.78183,3.74567,4.755568,0.1355556,0.2202259,0.01939664,4,11.7794,3.728087,0.3350926,0,0.3721048,7.450581e-09,0.1179533,84.26245,4.702006,33.59089,-9.987339,5.899136,31.06021,-9.932884,4.610262,35.90246,-9.219307,4.569974,6.440196,6.204177,0.7322259,121.4994,7.073864,7.184781,2.057183,3.043611,0.0,-86.80465,-4.101758,0.1035577,252.2407,334.8401,0.0
202503110030,202503110100,427.7592,0.4541429,3.413333,0.03131573,0.8801246,4,2.314115,4,0.003344631,4,-39.43488,4,1413.895,-5.3707,55.37284,160.1081,80.06782,60.46272,19.22696,3.565271,5.624327,0.2424985,0.09690912,0.06213719,7,26.76869,3.468282,0.3990993,0,0.83677,0.0,0.2064992,84.25696,4.356177,34.0993,-10.0995,5.660978,31.29674,-10.04014,4.312175,36.37298,-9.316601,4.356521,6.307419,5.96321,0.550685,137.7921,7.065818,7.010194,2.021423,3.046555,0.0,-79.72258,-3.665426,0.4978792,257.7135,333.2728,0.0
202503110100,202503110130,427.5417,0.6452734,3.368942,0.02899486,0.6512475,4,1.498352,4,0.002164952,4,-29.26164,3,-13.72282,-21.94262,54.02197,2711.221,271.1581,158.3607,11.01337,3.572428,5.476688,0.1652873,0.2272068,0.02889671,4,11.41749,3.542726,0.4462666,0,0.4882254,1.490116e-08,0.1766559,84.24518,4.059163,34.36731,-10.26634,5.365239,31.53312,-10.20694,3.999329,36.76241,-9.461416,4.055498,6.159329,5.663162,0.5907493,121.106,6.94394,6.83311,1.986937,2.989944,0.0,-80.26521,-3.703765,0.5533052,255.7343,331.7424,0.0
202503110130,202503110200,427.3862,0.6202539,3.389059,0.03941816,0.1460273,7,1.731139,7,0.002504107,7,-32.55882,7,-2.179321,-10.46488,68.5463,3755.637,356.5434,206.2492,16.76752,4.096565,5.60328,0.1619799,0.2684417,0.02762984,1,9.663662,4.083205,0.3933853,0,0.3542043,1.490116e-08,0.1834517,84.23275,5.412168,31.45155,-10.19368,6.728615,28.88692,-10.13409,5.178966,34.16827,-9.343216,5.283396,7.040764,7.029979,0.8919353,119.1996,6.821887,6.712688,1.992463,2.9895,0.0,-87.33666,-3.489023,0.9534114,253.7988,336.693,0.0
202503110200,202503110230,428.166,0.7590076,3.428838,0.02275038,-0.3334056,7,0.6751626,7,0.0009766244,7,-17.79182,7,-25.02707,-33.01255,57.38852,2656.157,278.6617,164.293,23.49533,3.53582,4.803978,0.1521994,0.1772104,0.02438767,8,14.6387,3.507083,0.4136118,0,0.4599784,1.490116e-08,0.1256117,84.21061,5.259403,32.16487,-10.04289,6.432948,29.80891,-9.989642,5.174753,34.38612,-9.265746,5.108728,6.806079,6.73737,0.8100751,124.6073,6.466564,6.609928,1.997305,2.992167,0.0,-90.67622,-4.401366,0.06239152,251.3188,337.5313,0.0
